fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url
02013,USA,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,0.0161,other,25.686031080097607,,0.37081883173299995,0.8565528916870002,,,,3,0,3,4,0,4,4,361,1,,,,,,,,,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough
02016,USA,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.0641,other,167.35128556214818,,0.9968252693459999,0.6538039175240001,inf,,,5,1,5,4,1,4,4,555,0,,,,0,,,,0,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area
02020,USA,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.0174,other,11.805555555555555,,0.8705011044059999,0.2415070541440002,0.1680672156862745,,0.8655462745098039,2,0,2,4,0,0,3,26422,152,,,,1149,418,17,0.66,51,44,4,0.71,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality
02050,USA,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.0055,other,23.30966107752793,,0.545244785466,0.6574384497639999,inf,,,2,0,2,4,0,4,4,3557,18,,,,37,,,0.4,0,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/bethel_census_area
02060,USA,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,0.08,other,136.70539986329462,,0.702598824134,1.0537195988259997,,,,5,1,5,4,0,4,4,428,2,,,,,,,,,,,,2,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough
02068,USA,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,,other,27.24981265753798,,,,,,,3,4,3,4,4,4,4,72,0,,,,,,,,,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/denali_borough
02070,USA,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.0435,other,17.435778216901078,,,,inf,,,2,1,2,4,4,4,4,202,1,,,,18,,,0.15,0,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area
02090,USA,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.0381,other,16.963078016883426,,0.98387567172,0.43189630882999996,,,0.6483516153846154,2,1,2,4,1,4,0,6173,26,,,,175,45,2,0.46,13,8,0,0.66,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough
02100,USA,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,0.0,,,,,,,0,4,0,4,4,4,4,24,0,,,,,,,,,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/haines_borough
02105,USA,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,6.650704974727321,,,,,,,1,4,1,4,4,4,4,55,1,,,,,,,,,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area
02110,USA,AK,Juneau City and Borough,county,,iso1:us#iso2:us-ak#fips:02110,,31974,0.0089,other,10.2762065606877,,0.871704484208,0.8876599072120002,0.12484394506866417,,0.5079365555555556,2,0,2,4,0,0,0,1215,3,,,,73,30,1,0.41,9,4,1,0.32,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/juneau_city_and_borough
02122,USA,AK,Kenai Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02122,,58708,0.0128,other,4.623366005119769,,0.751942373701,0.831092286409,0.14985015734265733,,0.41558445454545456,1,0,1,4,0,0,0,3961,19,,,,77,49,1,0.56,11,4,0,0.69,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/kenai_peninsula_borough
02130,USA,AK,Ketchikan Gateway Borough,county,,iso1:us#iso2:us-ak#fips:02130,,13901,0.0055,other,19.525830618557762,,0.9926014236480001,0.7681154890220001,,,0.21428566666666668,2,0,2,4,1,4,0,349,2,,,,25,10,0,0.42,6,1,1,0.31,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/ketchikan_gateway_borough
02150,USA,AK,Kodiak Island Borough,county,,iso1:us#iso2:us-ak#fips:02150,,12998,0.0032,other,1.0990701866221175,,1.02334552035,1.1099782076299998,,,,1,0,1,4,1,4,4,1052,5,,,,25,8,0,0.22,2,0,0,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/kodiak_island_borough
02158,USA,AK,Kusilvak Census Area,county,,iso1:us#iso2:us-ak#fips:02158,,8314,0.0078,other,18.900993161277018,,0.630717795791,0.919354556509,,,,2,0,2,4,0,4,4,1197,3,,,,,,,,,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/kusilvak_census_area
02164,USA,AK,Lake and Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02164,,1592,,other,0.0,,,,,,,0,4,0,4,4,4,4,110,0,,,,,,,,,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/lake_and_peninsula_borough
02170,USA,AK,Matanuska-Susitna Borough,county,,iso1:us#iso2:us-ak#fips:02170,,108317,0.0656,other,33.23578016377854,,0.906156175601,0.23659371358900005,0.19712426948051945,,0.7959185714285715,3,1,3,4,1,0,1,8536,33,,,,125,74,8,0.72,14,11,2,0.33,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/matanuska_susitna_borough
02180,USA,AK,Nome Census Area,county,,iso1:us#iso2:us-ak#fips:02180,,10004,0.0013,other,4.284000685440109,,,,inf,,,1,0,1,4,4,4,4,325,0,,,,36,,,,0,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/nome_census_area
02185,USA,AK,North Slope Borough,county,,iso1:us#iso2:us-ak#fips:02185,,9832,0.0035,other,2.90596303615018,,0.947900791803,1.020670600117,inf,,,1,0,1,4,1,4,4,1000,4,,,,20,,,0.06,0,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/north_slope_borough
02188,USA,AK,Northwest Arctic Borough,county,,iso1:us#iso2:us-ak#fips:02188,,7621,0.0038,other,3.749039308677151,,1.0418426763200002,1.1167268703599997,inf,,,1,0,1,4,1,4,4,586,1,,,,17,,,0.23,0,,,,0,,,,2021-03-01,https://covidactnow.org/us/alaska-ak/county/northwest_arctic_borough
