date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall
2020-01-22,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-01-23,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-01-24,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-01-25,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-01-26,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-01-27,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-01-28,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-01-29,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-01-30,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-01-31,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-01,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-02,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-03,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-04,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-05,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-06,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-07,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-08,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-09,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-10,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-11,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-12,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-13,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-14,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-15,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-16,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-17,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-18,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-19,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-20,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-21,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-22,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-23,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-24,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-25,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-26,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-27,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-28,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-02-29,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-03-01,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-03-02,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-03-03,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-03-04,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-03-05,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-03-06,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-03-07,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-03-08,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
2020-03-09,USA,NM,Bernalillo County,35001,,,iso1:us#iso2:us-nm#fips:35001,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0
